"","info.Lon","info.Lat","info.ECO_NAME","info.BIOME","info.ECO_ID","info.max.lat","info.min.lat","info.max.lon","info.min.lon","info.species.count","info.observation.count.tot","info.Kier_richness","info.Kier_area","info.observation.count.tot.1","info.observation.count.tot.2","info.observation.count.LeArea","info.observation.count.SSD","info.observation.count.SLA","info.observation.count.LeC","info.observation.count.LeN","info.observation.count.LeP","info.observation.count.PlantHeight","info.observation.count.SeedMass","info.observation.count.SeLen","info.observation.count.LeNArea","info.observation.count.LeNP","info.observation.count.Led15N","info.observation.count.SenbU","info.observation.count.LeFMass","info.observation.count.ConduitDens","info.observation.count.VesLen","info.observation.count.DispULen","info.observation.count.tot.3","trait.LeArea","trait.SSD","trait.SLA","trait.LeC","trait.LeN","trait.LeP","trait.PlantHeight","trait.SeedMass","trait.SeLen","trait.LeNArea","trait.LeNP","trait.Led15N","trait.SenbU","trait.LeFMass","trait.ConduitDens","trait.DispULen","trait.VesLen","soil","climate.AnnualMeanTemperature.nc","climate.MaxTemperatureofWarmestMonth.nc","climate.MinTemperatureofColdestMonth.nc","climate.TemperatureSeasonality.nc","climate.MeanDiurnalRange.nc","climate.AnnualPrecipitation.nc","climate.PrecipitationofWettestMonth.nc","climate.PrecipitationofDriestMonth.nc","climate.PrecipitationSeasonality.nc","climate.vapr.mean.nc","climate.vapr.max.nc","climate.vapr.min.nc","climate.vapr.sd.nc","climate.srad.mean.nc","climate.srad.max.nc","climate.srad.min.nc","climate.srad.sd.nc","climate.wind.mean.nc","climate.wind.max.nc","climate.wind.min.nc","climate.wind.sd.nc"
"24",11.2759725,2.71104175,"Atlantic Equatorial coastal forests",1,30102,2.72,2.366667,11.284722,9.833333,248,468,6000,188821,468,468,430,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,468,3019,0.48915,16.87945,456.07195,21.6274,1.5005,3.2,12.64415,3.6213,1.407575,14.319125,2.247825,193.21015,0.79475,18.8583,4.107975,530.893225,2.71104175,23.9604165156682,28.7999992370605,18.3499994277954,71.0025678488268,8.45833349227905,1760.25,315,36,58.8859232738917,2.46833324432373,2.54999995231628,2.32999992370605,0.0732385739684105,13275.3330078125,15865,10178,1923.54919433594,1.03750002384186,1.20000004768372,0.699999988079071,0.158771350979805
"25",6.7156446725,52.656132823,"Atlantic mixed forests",4,80402,56.4833,43.506517,12.1,-1.583333333,458,7096,1900,400447,7096,7096,1302,222,2254,541,1103,296,737,34,0,325,41,0,0,0,2,0,0,7096,516.554166675,0.419575,19.52165,447.9494,21.9622,1.7465,0.359325,0.72305,2.33505,1.2018448665,11.76225,1.714025,375.808,0.128725,81.90695,2.693,422.1467,52.656132823,9.37916663661599,20.1000003814697,-2.29999995231628,565.168246221015,7.54166668653488,797,82,45,16.5743964056425,1.00999999046326,1.50999999046326,0.629999995231628,0.321976333856583,9723.0625,17960,1748,5996.33642578125,3.95000004768372,4.69999980926514,3.20000004768372,0.457574233412743
"27",46.833333333,38.9,"Azerbaijan shrub desert and steppe",13,81305,41.72,38.9,46.833333333,44.78,364,667,1500,64089,667,667,174,0,370,0,2,2,240,476,0,0,2,0,0,0,0,0,0,667,348.1181,0.4264,18.5036,444.6278,22.01925,1.88535,0.3292,0.87765,2.1987,1.27815,11.65005,1.64475,367.321,0.102175,62.36415,2.49655,415.7376,38.9,7.69166662047307,23.1000003814697,-8.80000019073486,815.995857537264,9.44999997317791,431,74,19,48.4628611445189,0.629166662693024,1.0900000333786,0.25,0.287444442510605,15025.8330078125,23752,6990,5716.17724609375,2.23333334922791,2.59999990463257,1.89999997615814,0.21730674803257
"33",12.733333333,53.45,"Baltic mixed forests",4,80405,56.410026552,52.83,18.7,9.556449182,126,842,1700,117107,842,842,126,0,193,118,251,82,175,54,0,122,49,0,0,0,0,0,0,842,402.87515,0.403175,21.319675,454.0033,20.9956,1.672925,0.30771666675,0.5718,2.07965,1.12875,11.546125,1.4125,399.66695,0.095375,81.4245,2.51575,440.66435,53.45,8.29583340634902,19.3999996185303,-4.30000019073486,651.042732145987,6.40833326677481,569,64,35,17.2262086467637,0.917500019073486,1.45000004768372,0.509999990463257,0.3362817466259,10032.5,19237,1499,6630.0390625,3.70833325386047,4.30000019073486,3.09999990463257,0.413235872983932
"35",136.274444,-1.150556,"Biak-Numfoor rain forests",1,10103,-1.150556,-1.150556,136.274444,136.274444,40,47,1500,2810,47,47,46,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,47,3019,0.5127,13.60215,464.01255,17.851,1.07705,18,8.05605,3.92305,1.417,15.94815,2.20035,461.08475,1.0358,19.46125,3.24015,582.9534,-1.150556,27.1458332538605,31.2999992370605,22.8999996185303,20.6109251298147,7.75833368301392,2855,268,198,9.45815007624827,3.00583338737488,3.0699999332428,2.97000002861023,0.0275252144783735,18564.666015625,20181,17006,883.098999023438,2.27500009536743,2.5,2.09999990463257,0.142156049609184
"38",114.55,3.05,"Borneo lowland rain forests",1,40102,6,-1.3,117.93,112.38,415,869,10000,425583,869,869,732,3,559,450,547,40,293,0,0,543,4,0,0,0,0,0,0,869,5547.7282,0.5515,11.2438,481.9,17.1347,0.9645,19.6778,108.172,7.1066,1.5751,17.12815,2.3112,41.3669,1.7784,11.3861,6.96385,540.8991,3.05,27.1583332220713,32.2000007629395,21.6000003814697,39.2230272752786,9.78333330154419,3134,356,196,19.3965630810975,2.81416654586792,2.92000007629395,2.75999999046326,0.0465475022792816,16801,18130,14448,1058.12475585938,1.17499995231628,1.60000002384186,0.800000011920929,0.254405617713928
"39",115.662778,2.561667,"Borneo montane rain forests",1,40103,2.561667,2.549444,115.665833,115.662778,46,61,4000,115078,61,61,61,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,61,3019,0.503375,12.2932,468.737325,16.224575,1.1945,19,32.4267,5.6667,1.4164,16.39945,1.896,410.8585,0.87525,17.53635,4.63525,563.1375,2.561667,24.8750000794729,30.7000007629395,18.8999996185303,28.2440779686807,10.350000222524,3643,358,235,12.6232165994175,2.39333343505859,2.53999996185303,2.22000002861023,0.0844919607043266,16300.0830078125,17813,13640,1225.60083007812,1.00833332538605,1.20000004768372,0.699999988079071,0.144096821546555
"40",114.41,4.57,"Borneo peat swamp forests",1,40104,4.57,-1.21,114.41,110.1078,30,30,2500,67172,30,30,1,0,19,0,9,9,0,0,0,0,9,0,0,0,0,0,0,30,5276.32045,0.55215,7.2624267605,497.12835,14.8212,0.7604,18.4913,428.5037,12.0416,1.91085,19.85605,2.0183,8.23615,2.13465,10.1688,11.0938,528.22715,4.57,27.300000111262,32,22.6000003814697,43.4845659784709,7.80000003178914,3078,353,187,25.0699498699431,2.95416665077209,3.05999994277954,2.90000009536743,0.0448066405951977,17304.833984375,19192,15923,953.715148925781,1.83333337306976,2.59999990463257,1.5,0.283823072910309
"41",92.854167,26.949444,"Brahmaputra Valley semi-evergreen forests",1,40105,26.957778,26.923333,92.854722,92.801667,176,226,2500,56613,226,226,221,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,226,3019,0.50865,15.63335,456.266975,19.493675,1.374,14.25,14.004525,4.00025,1.31145,14.0599,2.0735,226.71335,0.77165,23.3404,4.2222,492.67845,26.949444,23.6791665951411,33.7999992370605,12.3999996185303,440.229594399657,9.04166611035665,2337,462,8,90.544068691805,2.28833341598511,3.21000003814697,1.32000005245209,0.704791128635406,17077.7084960938,20378,14365,1779.06396484375,0.958333373069763,1.39999997615814,0.600000023841858,0.255317252129316
"44",-152.5,67.5,"Brooks-British Range tundra",11,51108,68.6333,67.5,-149.3036,-152.5,64,255,593,160646,255,255,0,0,75,0,211,46,50,0,0,66,22,85,0,0,0,0,0,255,249.5664,0.4298,10.70128026,470.28085,19.1,1.53435,0.2964,0.35855,1.815725,1.76775,11.48835,1.2181,187.46805,0.09285,186.5267,2.397225,415.840775,67.5,-6.70416658123334,15.3999996185303,-26.7999992370605,1269.37072336239,8.74166649580002,348,66,15,54.1042764231509,0.3125,0.870000004768372,0.0500000007450581,0.296370416879654,7323.58349609375,18119,26,6409.81591796875,3.34166669845581,3.59999990463257,3,0.165621697902679
"45",-43.885278,-15.944722,"Caatinga",13,61304,-8.25,-15.944722,-35.916667,-43.885278,69,365,1500,731320,365,365,0,0,0,0,355,0,0,0,0,0,0,214,0,0,0,0,0,365,3549.6414,0.53445,11.9218,457.6987,18.675,0.96085,3.9653,33.62235,4.64955,1.6884,18.7873,1.7825,137.8528,1.0966,15.3017,5.4228,547.1334,-15.944722,22.9541667699814,31.6000003814697,12.8999996185303,147.962821132957,13.5916667779287,956,223,2,97.0033971162944,1.93416666984558,2.23000001907349,1.51999998092651,0.264558076858521,17094,19022,14647,1339.6708984375,1.25833332538605,1.60000002384186,1,0.165621712803841
"47",-120,37,"California Central Valley grasslands",8,50801,38.916666666,37,-120,-121.616666666,108,136,1682,55084,136,136,42,0,70,0,57,43,41,12,0,51,0,0,0,0,0,0,0,136,940.7438,0.58345,11.92737105,475.77325,20.30399274,1.48906978,6.1779314815,15.78635,5.3307,1.9632724245,13.0608,1.54185,334.0068,0.32215,67.939275,5.934325,321.2953,37,16.7583331450199,33.7000007629395,-2.40000009536743,704.481868230377,17.0499998362114,288,48,0,81.7624052305882,1.03333330154419,1.35000002384186,0.779999971389771,0.1900584846735,17780.416015625,28029,6849,7628.2060546875,2.83333325386047,3.59999990463257,2.09999990463257,0.526518940925598
"48",-118.650555555,34.082666666,"California coastal sage and chaparral",12,51201,34.2,32.9,-116.65,-118.838166666,49,95,1650,36249,95,95,5,59,26,0,0,0,30,1,0,0,0,0,0,0,0,0,0,95,938.6905,0.6074,6.8412,472.39275,15.9764,1.2745,3.3542,9.80025,4.4902,2.27165,12.3627,1.5139,450.7453,0.2701,116.2506,4.50655,332.69825,34.082666666,16.4624999960264,28.3999996185303,6,410.820275179692,11.9583331743876,396,86,1,99.2421741114408,1.07749998569489,1.48000001907349,0.720000028610229,0.260388344526291,17796.25,25069,9461,5766.9208984375,3.61666679382324,4.09999990463257,3.20000004768372,0.271185606718063
"49",-122.15,37.78,"California interior chaparral and woodlands",12,51202,39,35,-120,-123,82,123,2105,64627,123,123,0,22,2,0,49,0,55,21,0,0,0,25,0,0,0,0,0,123,226.6573,0.4858680555,14.3392,457.0135,18.89055,1.5363,0.8,3.43615,3.49175,1.4804,11.5614,1.885275,274.688,0.06975,110.8788,4.4151,382.23125,37.78,14.1833334664504,25.2999992370605,0.899999976158142,441.976227622973,12.7749999860922,709,151,2,92.3921564611368,1.05833339691162,1.32000005245209,0.819999992847443,0.171601936221123,16693.25,26518,6478,6882.37158203125,3.48333334922791,4.19999980926514,2.90000009536743,0.457954347133636
"52",-16.4,28.317028,"Canary Islands dry woodlands and forests",12,81203,28.534444,27.87,-15.4,-16.823889,53,94,1130,4967,94,94,45,0,31,0,2,2,48,0,0,0,2,0,0,0,0,0,0,94,548.8409,0.5322,12.691,458.4273,18.7129,1.2937,1.5,3.8545,3.4605,1.5502,14.5816,2.0132,436.736,0.2084,61.5258,3.5813,446.4084,28.317028,15.9208333094915,23.5,8.80000019073486,287.005170165068,7.54166658719381,377,70,1,79.71292372054,1.27583336830139,1.52999997138977,1.07000005245209,0.161733224987984,19448.916015625,26951,11178,5493.1171875,5.23333311080933,6.40000009536743,4.5,0.666249930858612
"53",-4.975590915,43.217476548,"Cantabrian mixed forests",4,80406,43.571638106,41.97,-4.739349748,-8.7,115,878,2000,79846,878,878,730,0,820,0,135,15,419,0,0,103,21,0,0,0,0,0,0,878,282.9975,0.4065,20.028368795,454.2687,23.3374,1.86695,0.1954,0.76425,2.0007,1.307,10.99275,1.43995,218.9028,0.0741,97.8475,2.2739,529.1228,43.217476548,9.46249999416371,19.7999992370605,-0.5,425.523514879917,6.87499994039536,1252,143,48,29.4556148906389,0.923333346843719,1.29999995231628,0.614999994635582,0.230048313736916,13342.8330078125,21829,4455,6174.3876953125,3.76666665077209,4.40000009536743,3.09999990463257,0.449691236019135
"54",170.1858,-45.3719,"Cantebury-Otago tussock grasslands",8,10801,-42.466666666,-46.348889,173.516666666,168.2906,195,448,800,53594,448,448,312,0,317,0,62,0,319,40,0,1,0,22,0,0,0,0,0,448,247.39306,0.4766,14.65602081,458.3748,16.5186,1.2765,1.75,1.3168,2.3783,1.2769,12.7448,1.8132,670.4494,0.0907,67.0036,3.11685,504.69385,-45.3719,10.0083333601554,18.7000007629395,-0.899999976158142,366.877701737181,9.44166670242945,975,110,51,22.8490409146457,0.891666650772095,1.12999999523163,0.670000016689301,0.161625534296036,13188.5,22482,4361,6517.68041992188,4.59166669845581,5.45000004768372,3.54999995231628,0.574214458465576
"61",43,43.02733325,"Caucasus mixed forests",4,80408,43.99979,41,45,40.11465,510,757,5000,170538,757,757,295,0,144,153,174,0,269,101,0,128,0,6,0,132,0,0,0,757,667.125925,0.42105,19.58340054,453.3657967,23.271008195,1.936675,0.4,0.95595,2.5868,1.2707,11.4712,1.366475,294.78825,0.158,71.7471,2.81095,433.88665,43.02733325,4.99999997392297,18.8499994277954,-11.1000003814697,754.75223793982,8.63333349923293,1069.5,132,59,23.765621229742,0.675833344459534,1.25999999046326,0.270000010728836,0.330161988735199,13670.0830078125,21420,5354,5782.91772460938,2.38333344459534,3,2,0.305050134658813
"62",-1.9,53.308333333,"Celtic broadleaf forests",4,80409,56.5,50.4,1.12,-4.2,255,3494,1600,210027,3494,3494,2580,1,2971,11,438,337,332,163,0,211,67,0,0,0,2,0,0,3494,808.5,0.4568,20.1659,451.3396,22.71305,1.9495,1.0549,1.2187,3.1983,1.2528,11.18855,1.70655,315.1266,0.2042,76.0624,3.6079,416.3193,53.308333333,9.0541667441527,18.6000003814697,-1.10000002384186,444.323401440521,6.8833333949248,1012,114,59,19.4552062570678,0.955833315849304,1.36000001430511,0.680000007152557,0.237094685435295,9320.5,17312,1680,5787.59716796875,5.05833339691162,6.09999990463257,4.09999990463257,0.649946570396423
"63",9.69,4,"Central African mangroves",14,31401,4,4,9.69,9.69,21,21,200,30791,21,21,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,21,2931.8076,0.6244,12.3261,466.855,17.4,0.8,6.2288,43.6189,4.6761,1.6626,18.8677,2.8313,108.6804,0.9016,12.4698,4.5863,559.8103,4,26.2708333333333,31,21.2999992370605,98.9365887809705,6.87500031789144,3170,577,27,74.6615051486646,2.98000001907349,3.0699999332428,2.88000011444092,0.064031183719635,14125.25,16381,11151,1722.58972167969,2.03333330154419,2.29999995231628,1.5,0.221108332276344
"64",-85.5,10.5,"Central American dry forests",2,60209,10.905555555,10.35,-85.35,-85.641,138,201,3300,67773,201,201,25,86,140,85,86,86,5,0,0,86,86,49,0,0,6,0,0,201,3056.21295,0.5583502,13.3531295,462.61923025,22.741538725,1.14473865,9.35525,38.1846,5.30355,1.86846618575,19.525325625,2.22089433,129.27535,0.92455,19.11825,5.9991,398.965,10.5,27.3125,33.4499988555908,21.5999994277954,82.183795786645,9.30833307902018,1789,373,2.5,91.772938913463,2.77791666984558,2.99500000476837,2.48000001907349,0.191124901175499,20343.541015625,23326.5,18202,1710.05535888672,3.05833327770233,4.45000004768372,2,0.854947447776794
"71",115.433333333,39.966666666,"Central China loess plateau mixed forests",4,80411,43.223716666,35.7,117.266666666,107.65,149,242,3100,359867,242,242,22,0,42,23,166,162,14,0,0,38,101,5,0,0,0,0,0,242,940.2442,0.5233,16.306,455.9212,23.4,1.755555556,3.5775,6.0229,4.1888,1.441929597,13.52,1.3316,168.903,0.26,84.9358,5.2827,368.7636,39.966666666,7.27916680773099,27.2000007629395,-13.8000001907349,1099.41609662144,11.7583333849907,493,144,2.5,111.930897092177,0.669166684150696,1.71000003814697,0.119999997317791,0.547257661819458,15583.8330078125,22484.5,8291,4827.22802734375,3.09166669845581,4.09999990463257,2.20000004768372,0.539225220680237
"72",13.214444,51.5,"Central European mixed forests",4,80412,54.1,48.333333333,34.2,10.846576709,89,793,2300,733978,793,793,64,36,139,34,477,373,31,0,0,89,450,0,0,0,0,0,0,793,922.5304,0.50845,16.9219,465.2344444,21.5,1.74955,2,5.0371,5.1689,1.3625330555,12.35825,1.4423,203.6193,0.1951,74.6309,6.6466,386.5781,51.5,9.0375000188748,21.6000003814697,-5.80000019073486,692.800088616859,8.05416668454806,577,71,34,25.7125072985633,0.918333351612091,1.45000004768372,0.509999990463257,0.341827869415283,10168.3330078125,18822,1921,6313.5439453125,3.60833334922791,4.19999980926514,3,0.422541975975037
"74",-124,48.573333333,"Central Pacific coastal forests",5,50510,50.7,43.48,-123.166667,-127.8,24,45,1109,73863,45,45,11,0,2,0,17,15,19,0,0,0,13,0,0,0,0,0,0,45,1240.06195,0.44055,14.3821610275,461.56275,19.4026,1.3911,20,2.20265,2.7462,1.30175,13.12635,1.01335,335.83585,0.3839,163.88235,3.95765,355.55555,48.573333333,9.85000004526228,19.1000003814697,-0.449999988079071,418.196793410287,7.59166663388411,2487,379.75,48,62.3288996225947,0.998333334922791,1.40749996900558,0.720000028610229,0.235341057181358,11336.5,19959,2601,6304.83374023438,4.05833339691162,4.69999980926514,3.29999995231628,0.444331526756287
"76",133.866666666,-23.7,"Central Ranges xeric scrub",13,11302,-23.5,-25.146667,133.866666666,128.3065,198,226,1400,281051,226,226,0,0,0,0,30,0,162,195,0,0,0,23,0,0,0,0,0,226,249.5739,0.5146,11.91005,438.3962,20.0013,1.4077,0.6,1.219,2.71765,1.75015,13.5069,2.4351,402.8711,0.0799,41.8275,2.960575,341.4657,-23.7,21.0875000357628,36,4,626.066807915113,14.9916669130325,325,48,9,50.0468258447615,0.889166653156281,1.26999998092651,0.620000004768372,0.209023848176003,22073.416015625,27742,14463,4649.0859375,3.16666674613953,3.79999995231628,2.5,0.370435178279877
