"","V1","V2"
"102","Lon_gf",NA
"103","AccSpeciesID.y_gf",NA
"104","Species_gf",NA
"105","Genus_gf",NA
"106","Family_gf",NA
"107","PhylogeneticGroup_gf",NA
"108","Exposition_gf",NA
"109","Maturity_gf",NA
"110","PlantGrowthForm_gf",NA
"111","LeafType_gf",NA
"112","LeafCompoundness_gf",NA
"113","TypicalNumberOfLeaflets_gf",NA
"114","DbComment_gf",NA
"115","ObservationID.1_gf",NA
"116","LeArea_gf",NA
"117","SSD_gf",NA
"118","SLA_gf",NA
"119","LeC_gf",NA
"120","LeN_gf",NA
"121","LeP_gf",NA
"122","PlantHeight_gf",NA
"123","SeedMass_gf",NA
"124","SeLen_gf",NA
"125","LeNArea_gf",NA
"126","LeNP_gf",NA
"127","Led15N_gf",NA
"128","SenbU_gf",NA
"129","LeFMass_gf",NA
"130","ConduitDens_gf",NA
"131","DispULen_gf",NA
"132","VesLen_gf",NA
"133","AnnualMeanTemperature.nc","Temperature (WorldClim), details in Supplement Table of Climate data."
"134","MaxTemperatureofWarmestMonth.nc","Temperature (WorldClim), details in Supplement Table of Climate data."
"135","MinTemperatureofColdestMonth.nc","Temperature (WorldClim), details in Supplement Table of Climate data."
"136","TemperatureSeasonality.nc","Temperature (WorldClim), details in Supplement Table of Climate data."
"137","MeanDiurnalRange.nc",NA
"138","AnnualPrecipitation.nc","Precipitation (WorldClim), details in Supplement Table of Climate data."
"139","PrecipitationofWettestMonth.nc","Precipitation (WorldClim), details in Supplement Table of Climate data."
"140","PrecipitationofDriestMonth.nc","Precipitation (WorldClim), details in Supplement Table of Climate data."
"141","PrecipitationSeasonality.nc","Precipitation (WorldClim), details in Supplement Table of Climate data."
"142","vapr.mean.nc","water vapor pressure (kPa) (WorldClim), details in Supplement Table of Climate data."
"143","vapr.max.nc","water vapor pressure (kPa) (WorldClim), details in Supplement Table of Climate data."
"144","vapr.min.nc","water vapor pressure (kPa) (WorldClim), details in Supplement Table of Climate data."
"145","vapr.sd.nc","water vapor pressure (kPa) (WorldClim), details in Supplement Table of Climate data."
"146","srad.mean.nc","Solar radiation (WorldClim), details in Supplement Table of Climate data."
"147","srad.max.nc","Solar radiation (WorldClim), details in Supplement Table of Climate data."
"148","srad.min.nc","Solar radiation (WorldClim), details in Supplement Table of Climate data."
"149","srad.sd.nc","Solar radiation (WorldClim), details in Supplement Table of Climate data."
"150","wind.mean.nc","Average wind speec (WorldClim), details in Supplement Table of Climate data."
"151","wind.max.nc","Average wind speec (WorldClim), details in Supplement Table of Climate data."
"152","wind.min.nc","Average wind speec (WorldClim), details in Supplement Table of Climate data."
"153","wind.sd.nc","Average wind speec (WorldClim), details in Supplement Table of Climate data."
"154","ACDWRB_M_ss_1km_ll.tif",NA
"155","AWCh1_M_sl1_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"156","AWCh1_M_sl2_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"157","AWCh1_M_sl3_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"158","AWCh1_M_sl4_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"159","AWCh1_M_sl5_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"160","AWCh1_M_sl6_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"161","AWCh1_M_sl7_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"162","AWCh2_M_sl1_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"163","AWCh2_M_sl2_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"164","AWCh2_M_sl3_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"165","AWCh2_M_sl4_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"166","AWCh2_M_sl5_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"167","AWCh2_M_sl6_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"168","AWCh2_M_sl7_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"169","AWCh3_M_sl1_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"170","AWCh3_M_sl2_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"171","AWCh3_M_sl3_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"172","AWCh3_M_sl4_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"173","AWCh3_M_sl5_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"174","AWCh3_M_sl6_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"175","AWCh3_M_sl7_1km_ll.tif","Available water capacity (SoilGrids), details in Supplement Table of Soil data."
"176","AWCtS_M_sl1_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"177","AWCtS_M_sl2_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"178","AWCtS_M_sl3_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"179","AWCtS_M_sl4_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"180","AWCtS_M_sl5_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"181","AWCtS_M_sl6_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"182","AWCtS_M_sl7_1km_ll.tif","Saturated water content (SoilGrids), details in Supplement Table of Soil data."
"183","BDTICM_M_1km_ll.tif",NA
"184","BLDFIE_M_sl1_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"185","BLDFIE_M_sl2_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"186","BLDFIE_M_sl3_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"187","BLDFIE_M_sl4_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"188","BLDFIE_M_sl5_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"189","BLDFIE_M_sl6_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"190","BLDFIE_M_sl7_1km_ll.tif","Bulk density (SoilGrids), details in Supplement Table of Soil data."
"191","CECSOL_M_sl1_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"192","CECSOL_M_sl2_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"193","CECSOL_M_sl3_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"194","CECSOL_M_sl4_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"195","CECSOL_M_sl5_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"196","CECSOL_M_sl6_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"197","CECSOL_M_sl7_1km_ll.tif","Cation exchange capacity (SoilGrids), details in Supplement Table of Soil data."
"198","CLYPPT_M_sl1_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"199","CLYPPT_M_sl2_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"200","CLYPPT_M_sl3_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"201","CLYPPT_M_sl4_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"202","CLYPPT_M_sl5_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"203","CLYPPT_M_sl6_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"204","CLYPPT_M_sl7_1km_ll.tif","Weight percentage of the Clay particles (SoilGrids), details in Supplement Table of Soil data."
"205","CRFVOL_M_sl1_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"206","CRFVOL_M_sl2_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"207","CRFVOL_M_sl3_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"208","CRFVOL_M_sl4_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"209","CRFVOL_M_sl5_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"210","CRFVOL_M_sl6_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"211","CRFVOL_M_sl7_1km_ll.tif","Coarse fragments (> 2mm) (SoilGrids), details in Supplement Table of Soil data."
"212","OCDENS_M_sl1_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"213","OCDENS_M_sl2_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"214","OCDENS_M_sl3_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"215","OCDENS_M_sl4_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"216","OCDENS_M_sl5_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"217","OCDENS_M_sl6_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"218","OCDENS_M_sl7_1km_ll.tif","Soil organic carbon density (SoilGrids), details in Supplement Table of Soil data."
"219","OCSTHA_M_100cm_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"220","OCSTHA_M_200cm_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"221","OCSTHA_M_30cm_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"222","OCSTHA_M_sd1_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"223","OCSTHA_M_sd2_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"224","OCSTHA_M_sd3_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"225","OCSTHA_M_sd4_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"226","OCSTHA_M_sd5_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"227","OCSTHA_M_sd6_1km_ll.tif","Soil organic carbon stock (SoilGrids), details in Supplement Table of Soil data."
"228","ORCDRC_M_sl1_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"229","ORCDRC_M_sl2_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"230","ORCDRC_M_sl3_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"231","ORCDRC_M_sl4_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"232","ORCDRC_M_sl5_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"233","ORCDRC_M_sl6_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"234","ORCDRC_M_sl7_1km_ll.tif","Soil organic carbon content (SoilGrids), details in Supplement Table of Soil data."
"235","PHIKCL_M_sl1_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"236","PHIKCL_M_sl2_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"237","PHIKCL_M_sl3_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"238","PHIKCL_M_sl4_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"239","PHIKCL_M_sl5_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"240","PHIKCL_M_sl6_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"241","PHIKCL_M_sl7_1km_ll.tif","pH measured with KCl (SoilGrids), details in Supplement Table of Soil data."
"242","SLTPPT_M_sl1_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"243","SLTPPT_M_sl2_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"244","SLTPPT_M_sl3_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"245","SLTPPT_M_sl4_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"246","SLTPPT_M_sl5_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"247","SLTPPT_M_sl6_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"248","SLTPPT_M_sl7_1km_ll.tif","Weight percentage of the Silt particles (SoilGrids), details in Supplement Table of Soil data."
"249","SNDPPT_M_sl1_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"250","SNDPPT_M_sl2_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"251","SNDPPT_M_sl3_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"252","SNDPPT_M_sl4_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"253","SNDPPT_M_sl5_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"254","SNDPPT_M_sl6_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"255","SNDPPT_M_sl7_1km_ll.tif","Weight percentage of the Sand particles (SoilGrids), details in Supplement Table of Soil data."
"256","WWP_M_sl1_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"257","WWP_M_sl2_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"258","WWP_M_sl3_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"259","WWP_M_sl4_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"260","WWP_M_sl5_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"261","WWP_M_sl6_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"262","WWP_M_sl7_1km_ll.tif","Available soil water capacity (vol) until wilting point (SoilGrids), details in Supplement Table of Soil data."
"263","observation.count","Number of observed samples for all of traits of this (ecoregion-)species."
"264","max.lat","Maximum latitudinal extend of this ecoregion."
"265","min.lat","Minimum latitudinal extend of this ecoregion."
"266","max.lon","Maximum longitudinal extend of this ecoregion."
"267","min.lon","Minimmum longitudinal extend of this ecoregion."
"268","observation.count.LeArea","Number of observed samples for this trait."
"269","observation.count.SSD","Number of observed samples for this trait."
"270","observation.count.SLA","Number of observed samples for this trait."
"271","observation.count.LeC","Number of observed samples for this trait."
"272","observation.count.LeN","Number of observed samples for this trait."
"273","observation.count.LeP","Number of observed samples for this trait."
"274","observation.count.PlantHeight","Number of observed samples for this trait."
"275","observation.count.SeedMass","Number of observed samples for this trait."
"276","observation.count.SeLen","Number of observed samples for this trait."
"277","observation.count.LeNArea","Number of observed samples for this trait."
"278","observation.count.LeNP","Number of observed samples for this trait."
"279","observation.count.Led15N","Number of observed samples for this trait."
"280","observation.count.SenbU","Number of observed samples for this trait."
"281","observation.count.LeFMass","Number of observed samples for this trait."
"282","observation.count.ConduitDens","Number of observed samples for this trait."
"283","observation.count.VesLen","Number of observed samples for this trait."
"284","observation.count.DispULen","Number of observed samples for this trait."
